year,statefips,metrofips,geo_area,cicp_initiative,jobs14to18,jobs19to21,jobs22to24,jobs25to34,jobs35to44,jobs45to54,jobs55to64,jobs65plus
2021,00,14020,Bloomington MSA,AgriNovus,75.3161299018008,247.586371060104,529.8240625796319,1236.0153423305073,1080.14135942761,923.4750551924208,636.3747595632801,269.77834957319595
2020,00,21780,Evansville MSA,AgriNovus,292.687285455428,484.71597147988,808.6565521819001,4282.983927611519,4427.3009175234065,3911.871452536148,4071.6673925652008,962.4415550294243
2023,00,34620,Muncie MSA,AgriNovus,59.89414696530001,127.80881253501197,125.626888702592,467.22669921056405,511.80017195137594,320.5139689885078,474.5541168517039,260.985548529356
2023,0,00000,United States,AgriNovus,406859.61142270424,770355.0464079034,1016563.3996639525,4397296.574348251,4658116.248651161,4269398.046273195,3746301.110218337,1731366.6958317335
2023,00,29020,Kokomo MSA,AgriNovus,49.576838482628006,97.54369094809998,177.189666088388,605.904333524348,699.3533995915601,570.6724256429001,536.287594018036,201.05961453567602
2023,00,33140,Michigan City-La Porte MSA,AgriNovus,192.23765994207997,416.83266021540004,510.24612410727997,2050.22380797662,1967.071152396308,1954.6527061948968,1765.4852126561684,615.6004923528361
2019,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,8372.060657856304,13897.942956566421,19824.972489643216,96639.44540337425,100287.62584338064,102000.42842095769,84851.9941143703,28413.028377281815
2022,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,10143.318090928136,15155.698179743118,20501.18158244794,97511.63246762834,104783.68462525064,102371.74613748385,90213.22408951855,34071.869135524394
2021,00,29020,Kokomo MSA,AgriNovus,31.224070154480003,163.0138547296,180.02257703442,629.5643738393039,598.593457816944,510.50443998796,528.54847774458,168.19255260694402
2019,00,21140,Elkhart-Goshen MSA,AgriNovus,363.7959743411434,442.4806567044439,505.2933716127736,2112.8017198325174,2134.965648378684,2012.844264973448,1881.7443029316557,656.9214065405479
