year,statefips,metrofips,geo_area,cicp_initiative,females,males
2022,00,23060,Fort Wayne MSA,Advanced and Traded Industries,79049.19596559666,148473.47101131608
2024,0,00000,United States,Advanced and Traded Industries,50219138.456494205,79105993.57656862
2022,18,00000,Indiana,Advanced and Traded Industries,1186553.3984107645,2135082.0107349986
2022,18,00000,Indiana,AgriNovus,128847.76597205,278692.3773129439
2024,00,21780,Evansville MSA,BioCrossroads,1929.2706910650825,3119.091399374171
2023,00,17140,Cincinnati MSA,BioCrossroads,21649.189047315554,22063.82127857352
2020,00,16980,Chicago-Naperville-Elgin MSA,Conexus,995738.7441264854,2133112.7495003785
2024,00,14020,Bloomington MSA,TechPoint,989.6117920599871,2124.570205700373
2021,00,16980,Chicago-Naperville-Elgin MSA,TechPoint,147657.66257274512,278592.28355499014
2023,00,26900,Indianapolis-Carmel-Greenwood MSA,TechPoint,34861.31883580533,64818.68618675882
2024,00,43780,South Bend-Mishawaka MSA,TechPoint,3980.2503125955186,5334.759526333936
2023,00,34620,Muncie MSA,Healthcare,17765.850967846785,4415.15363522697
2020,00,14020,Bloomington MSA,Healthcare,19072.468593632067,4704.65713573416
2024,00,21140,Elkhart-Goshen MSA,Advanced and Traded Industries,73550.99185074688,157455.4665841747
2023,00,14020,Bloomington MSA,AgriNovus,1595.9009940387236,3477.4838641587917
2023,00,43780,South Bend-Mishawaka MSA,BioCrossroads,2145.6592364067037,2567.4466097920367
2024,00,29020,Kokomo MSA,BioCrossroads,177.8666894625457,93.86249660283055
2021,00,43780,South Bend-Mishawaka MSA,Conexus,28535.569594641638,71882.34929360352
2020,00,18020,Columbus MSA,Conexus,24317.71897443895,59018.22886581056
2020,00,31140,Louisville/Jefferson County MSA,Conexus,195820.9339831155,461921.2030516586
2020,00,43780,South Bend-Mishawaka MSA,TechPoint,2564.965907729946,3859.4799163944813
2023,00,31140,Louisville/Jefferson County MSA,Finance,71146.07528284904,43980.93441681444
2023,0,00000,United States,Healthcare,37167909.904890284,10985488.84401048
2023,18,00000,Indiana,Healthcare,862974.989920713,197512.3607215683
2021,0,00000,United States,Healthcare,35217064.875897,10303853.721856799
2024,00,23060,Fort Wayne MSA,AgriNovus,6846.385880645303,14536.246460453172
2021,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,170272.39075699289,286512.4085677941
2024,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,198645.1442948967,322600.08397335967
2023,00,33140,Michigan City-La Porte MSA,BioCrossroads,565.4967180103839,408.25290713537504
2023,00,14020,Bloomington MSA,BioCrossroads,14486.21580113075,14290.616117951853
2024,00,34620,Muncie MSA,BioCrossroads,172.0698048171493,151.82081678207658
2024,0,00000,United States,Conexus,29802191.411675103,67911129.01002388
2022,00,16980,Chicago-Naperville-Elgin MSA,Conexus,1071029.6225395435,2206179.6559546944
2023,0,00000,United States,Conexus,29967131.672986884,68298091.76985425
2024,00,45460,Terre Haute MSA,Finance,3310.3208711967927,1475.1397031028362
2021,00,29020,Kokomo MSA,Finance,1975.3345897619608,874.180047334971
2020,00,29020,Kokomo MSA,Healthcare,9863.829402785284,1877.0762263556162
2022,00,45460,Terre Haute MSA,Advanced and Traded Industries,14343.068003302657,33910.00167272216
2024,0,00000,United States,AgriNovus,7134835.666745648,14025423.007168079
2021,00,23060,Fort Wayne MSA,AgriNovus,6035.328270703542,13672.75346209452
2022,00,14020,Bloomington MSA,AgriNovus,1682.5148916525955,3479.1930054655886
2020,00,26900,Indianapolis-Carmel-Greenwood MSA,Conexus,252765.24696552544,554544.3269392307
2021,00,14020,Bloomington MSA,TechPoint,966.1066576112221,2178.918762518542
2022,00,21780,Evansville MSA,Finance,7509.272482592282,4089.0136824397828
2021,00,14020,Bloomington MSA,Finance,3336.0768729069546,2002.170366621411
