year,NAICS,occ
2024,522110,29-1126
2019,524113,43-5051
2022,522220,13-1071
2026,522310,49-9031
2022,522320,31-1132
2025,522310,51-4081
2028,523160,53-2011
2019,523940,35-1011
2025,524210,47-5013
2026,523940,27-1025
2028,522220,37-1012
2027,523910,53-3052
2025,524298,49-3043
2026,524292,27-2032
2023,522220,47-4031
2023,522299,49-2096
2022,524130,43-4151
2028,522310,11-3031
2024,522320,31-9094
2021,523210,33-9021
2021,523910,29-1223
2023,521110,29-1241
2026,523160,27-2041
2024,523160,31-9097
2020,524292,25-4022
2019,525910,43-3021
2025,523160,45-2093
2021,522110,43-3041
2026,522180,11-3061
2028,524128,29-2018
2021,524128,47-5022
2026,524292,43-4161
2026,522390,29-1023
2027,522110,31-1128
2024,523991,25-9099
2026,523210,33-9099
2021,523210,31-9092
2026,523910,33-1021
2020,522291,17-3027
2027,524298,25-2051
2022,522292,29-1243
2025,522310,19-1022
2024,524113,51-2021
2025,525120,29-9091
2025,522110,19-4061
2019,522299,27-1012
2020,523999,29-2031
2026,523991,25-2031
2021,522180,35-2019
2026,524127,51-9051
2021,522130,27-3099
2021,524292,13-1051
2021,524127,49-1011
2028,523910,51-9141
2023,522291,13-2081
2024,523999,21-1013
2024,525990,45-4029
2026,522110,17-2071
2019,522291,31-9099
2027,524130,21-1099
2023,524126,51-9192
2025,524128,33-3052
2027,525910,11-9041
2021,521110,41-2022
2028,524114,47-5099
2028,525910,33-3041
2024,522291,17-3029
2019,525990,19-4021
2021,524291,39-3093
2020,521110,51-4111
2020,523999,49-1011
2025,523210,27-3023
2026,524298,43-4051
2019,522220,37-1011
2025,523910,29-1249
2026,525110,19-4013
2025,524292,29-1224
2022,522291,11-2011
2027,521110,43-9021
2025,522310,17-2111
2025,525990,27-1012
2028,522220,19-4061
2022,525110,27-2022
2020,525110,49-3093
2026,522130,11-2032
2028,522292,53-2011
2020,523940,45-2099
2023,522299,11-2021
2019,522310,39-6012
2025,524210,25-2021
2025,522390,43-5061
2020,522110,29-1222
2021,523940,51-3022
2028,525990,49-3051
2028,522130,51-5111
2027,525110,43-9081
2025,523991,27-1011
2020,522180,45-1011
2021,523999,51-9151
2019,525920,19-3039
2026,522220,29-1031
2023,522291,29-2018
2024,524128,53-4013
2027,524130,53-7064
2020,524291,19-2099
2027,525920,45-4022
2028,522390,29-1242
2020,524210,39-2021
2024,524127,19-4031
2027,524130,47-2022
2024,524291,51-9193
2021,524127,25-2022
2027,522320,39-6012
2027,525190,51-9161
2023,522130,13-1028
2028,523999,53-7064
2020,524130,29-2032
2022,523991,51-6051
2025,523160,25-2057
2028,523160,39-3011
2020,524128,27-3011
2027,522220,49-3021
2024,522210,33-9092
2025,522110,49-3042
2027,522299,29-9091
2021,525190,33-9032
2020,524128,29-1171
2024,524114,29-1031
2025,525110,29-1151
2025,525910,19-1029
2020,522220,51-4081
2025,524114,21-1018
2028,524114,39-3093
2019,522299,51-9111
2026,524114,29-1022
2021,525920,11-3012
2024,524210,39-5093
2028,525920,13-1082
2024,522291,33-3011
2024,522320,27-4011
2024,524130,29-2055
2023,525190,33-9092
2024,524127,43-2011
2028,522180,21-2011
2023,523160,43-4161
2024,524113,41-4011
2027,524130,53-4013
2023,523160,49-3023
2024,521110,51-9061
2027,524292,31-9097
2023,522310,51-9199
2028,525190,39-3021
2028,523999,49-2093
2022,525990,47-5012
2028,525190,43-5111
2026,525190,19-3039
2021,525920,33-3051
2019,523150,13-2082
2020,524130,51-9023
2024,524292,25-2011
2021,524113,51-8091
2026,523910,29-1291
2026,521110,29-1131
2026,521110,51-9196
2025,521110,51-2041
2025,524291,33-9021
2023,522210,51-2031
2026,523150,29-2042
2028,524127,19-4044
2023,525920,17-2171
2020,522292,47-2231
2019,522310,39-4011
2022,522299,11-3071
2022,522320,21-1094
2021,524126,53-2011
2028,525910,11-3031
2025,525910,19-4012
2021,523210,19-4012
2025,522390,15-1242
2024,525120,51-2098
2027,525920,39-4031
2022,525990,33-9091
2027,522299,39-5093
